Plant,URL,ScientificName,Type,MinHeight,MaxHeight,MinWidth,MaxWidth,FloweringMonths,Sun,Watering,MinRain,MaxRain,FlowerColor,Visuals,MinTemp,Soil,MinSoilpH,MaxSoilpH,CNPSDrainage,AttractsBees,AttractsButterflies,AttractsHummingbirds,AttractsSongbirds,Notes,Containers,MinElevation,MaxElevation,Counties,Image,
Eastwood's manzanita,http://calscape.org/Arctostaphylos-glandulosa-(Eastwood-Manzanita),Arctostaphylos glandulosa,Bush,3,12,6,8,"Jan, Feb, Mar","Full, Partial","DroughtTolerant, Infrequent, Occasional",11,123,"White, Pink",White to pink flowers; Evergreen,10,"Often gravelly, decomposed granite soil",6,8,"Fast, Medium",Yes,Yes,Yes,Yes,"Edible: Flowers steeped for tea. Green mature fruits soaked in boiling water, resulting juice ok for drink or jelly. Berries/dried fruits ground into pinole.",Yes,7,7920,1____111_1_1__1_1_1_1_1___11_1__1_111__11111__111___1__1__,11_arctostaphylos_glandulosa,"https://upload.wikimedia.org/wikipedia/commons/b/bd/Arctostaphylosglandulosacrass.jpg
https://upload.wikimedia.org/wikipedia/commons/0/0a/Arctostaphylos_glandulosa_subsp._cushingiana_-_Regional_Parks_Botanic_Garden%2C_Berkeley%2C_CA_-_DSC04352.JPG
https://c1.staticflickr.com/4/3291/3003169765_50f36d659f_o.jpg
https://upload.wikimedia.org/wikipedia/commons/3/35/Arctostaphylos_glandulosa_crassifolia.jpg"
Bigberry manzanita,http://calscape.org/Arctostaphylos-glauca-(Big-Berry-Manzanita),Arctostaphylos glauca,Bush,10,25,6,20,"Jan, Feb, Mar",Full,"DroughtTolerant, Infrequent, Occasional",11,61,"White, Pink",White to pink flowers; Evergreen,0,Can tolerate heavy soil but does best in well-drained soil,6,8,"Fast, Medium",Yes,NA,Yes,Yes,"Edible: Fruits eaten raw or cooked. Drink made by mashing berries, covering in boiling water or soaked in sun like ""sun tea"". Other: A tea made from the dried leaves is strongly astringent, diuretic and an antiseptic for the urinary tract, but should be used with caution because it contains arbutin which hydrolyzes into the toxic urinary antiseptic hydroquinone. Externally, an infusion is used to treat poison oak rash.",Yes,30,9398,1_1___1__1__1_11__1__1____11_11_1_111_11_1111____1_1_1_1__,12_arctostaphylos_glauca,"https://c1.staticflickr.com/7/6187/6065359383_bac9085233_o.jpg
https://upload.wikimedia.org/wikipedia/commons/1/18/Arctostaphylos_glauca_cedar_mountain.JPG
https://upload.wikimedia.org/wikipedia/commons/a/a0/Arctostaphylos_glauca.jpg
https://upload.wikimedia.org/wikipedia/commons/c/cf/Arctostaphylos_glauca_1.jpg"
Parry manzanita,http://calscape.org/Arctostaphylos-manzanita-(Common-Manzanita),Arctostaphylos manzanita,Bush,10,20,10,12,"Jan, Feb, Mar","Full, Partial","DroughtTolerant, Infrequent, Occasional",18,123,"White, Pink",White to pink flowers; Evergreen,10,Tolerant of clay or alluvial soil,4,7,Medium,Yes,NA,Yes,Yes,Edible: Friuts eaten raw or cooked but are hard to digest. Berries can be crushed to make a lightly sweet drink like a cider. Other: The leaves can be boiled and the yellowish-red extract used as a cleansing body wash.,Yes,10,7042,1_1111111111_11_111_1111__111111_1_111_11_111111111111111_,13_arctostaphylos_manzanita,"https://upload.wikimedia.org/wikipedia/commons/7/78/Manzanita_%28Arctostaphylos_manzanita%29.JPG
https://upload.wikimedia.org/wikipedia/commons/1/1a/Arctostaphylos_manzanita_1.jpg
https://upload.wikimedia.org/wikipedia/commons/9/94/Arctostaphylos_manzanita.jpg"
Kinnikinnick,http://calscape.org/Arctostaphylos-uva-ursi-(Southern-Kinnikinnick),Arctostaphylos uva-ursi,Bush,0.5,2,5,10,"Mar, Apr, May, Jun","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional",19,97,"White, Pink",White to pink flowers; Evergreen,30,Tolerates a variety of soils but prefers sandy loam,4,7,"Fast, Medium",Yes,Yes,Yes,Yes,"Edible: Fruit dry and mealy, but it becomes sweeter when cooked. Added to stews etc, it is a good source of carbohydrates. The fruit can also be used to make a cooling drink or used for preserves etc.A tea is made from the dried leaves. Hazard: Large quantities can be poisonous, consumption of the plant should be avoided by pregnant women.",Yes,7,11679,_______1___1______1_1_1__11___1_________1_______1_____1___,,
Coastal sagebrush,http://calscape.org/Artemisia-californica-(California-Sagebrush),Artemisia californica,Bush,3,8,3,5,"Apr, May, Jun, Jul, Aug, Sep, Oct",Full,"DroughtTolerant, Infrequent, Occasional",11,50,NA,Silvery light green to gray foliage; Evergreen,20,"Usually found on sandy soil with low nutrient content, although it is also said to tolerate clay",5,8,Medium,Yes,NA,NA,Yes,Pollen may cause allergies,NA,-22,11507,1_____1__1____111_1_1_11__11_1__1_1111111111___111___1_1__,,
Mugwort,http://calscape.org/Artemisia-douglasiana-(Douglas'-Sagewort),Artemisia douglasiana,Perennial_herb,2.1,8,1.5,4,"May, Jun, Jul, Sep, Oct","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional",11,95,NA,Silver-gray folliage; Winter deciduous,0,Tolerant of a variety of soils as long as adequate moisture is available,5,8,Slow,Yes,Yes,NA,NA,,NA,-7,11501,111111111111_11_111111111111111111111111111111111111111111,,
California milkweed,http://calscape.org/Asclepias-californica-(California-Milkweed),Asclepias californica,Perennial_herb,3,3,3,3,"Apr, May, Jun, Jul",Full,"DroughtTolerant, Infrequent, Occasional",13,55,Purple,Purple flowers with light-gray leaves; Summer Semi-deciduous,5,Tolerates sand and clay,6,8,Unknown,Yes,Yes,NA,NA,"Hazard: Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides. They are usually avoided by grazing animals.Other: Rubber can be made from latex contained in the stems and leaves.",NA,3,8798,1_____1__1____1__111_1_1__1_11__1_111__1_11_____11___1_1__,,
Narrow leaf milkweed,http://calscape.org/Asclepias-fascicularis-(Narrow-Leaf-Milkweed),Asclepias fascicularis,Perennial_herb,1.5,3,0.6,1,"Jun, Jul, Aug, Sep",Full,"DroughtTolerant, Infrequent, Occasional",8,107,"White, Pink",White/pink flowers; Winter deciduous,5,"Tolerates a variety of soils including sandy, clay and saline",6,8,Medium,Yes,Yes,NA,NA,"Hazard: Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides. They are usually avoided by grazing animals.",NA,1,11144,1111111_1111_111111111111111111111111_11111111111111111111,,
Showy milkweed,http://calscape.org/Asclepias-speciosa-(Showy-Milkweed),Asclepias speciosa,Perennial_herb,1.5,4,1.5,4,"Jun, Jul",Full,"DroughtTolerant, Infrequent, Occasional",15,75,"Pink, Purple",Fragrant eye-catching furry pale pink to pinkish-purple flowers; Winter deciduous,-5,Tolerates clay soil but performs best with good drainage,6,8.5,Medium,Yes,Yes,NA,NA,"Hazard: Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides. They are usually avoided by grazing animals.Other: Rubber can be made from latex contained in the stems and leaves. Stems and leaves can be used to make paper. Seed floss is highly water resistant.",NA,17,7825,1111111_1111_1__11__111_11_11_11_1________1_11111__1111_11,,
Lady fern,http://calscape.org/Athyrium-filix-femina-(Common-Ladyfern),Athyrium filix-femina,Fern,2,3,2,3,NA,"Partial, Shade","Occasional, Moderate, Regular",18,107,Textural,Textural,-10,"Clay, Loam, Sand, Rocky",5,8,"Fast, Medium",NA,Yes,NA,NA,"Hazard: The fresh shoots contain thiaminase, an enzyme that robs the body of its vitamin B complex. In small quantities this enzyme will do no harm to people eating an adequate diet that is rich in vitamin B, though large quantities can cause severe health problems. The enzyme is destroyed by heat or thorough drying.",NA,-4,10600,111111111111_1__1_11111_11111_111__1_1111111111_1__1111__1,,
Coyote brush,http://calscape.org/Baccharis-pilularis-(Coyote-Bush),Baccharis pilularis,Bush,3,10,3,12,"Sep, Oct, Nov, Dec, Jan","Full, Partial","DroughtTolerant, Infrequent, Occasional",9,101,White,White to cream flowers; Evergreen,10,"Tolerant of a variety of soils including sand, clay and alkaline",5,8,Medium,Yes,Yes,NA,NA,Pollen may cause allergies,NA,-152,6046,1_1111111111__1_1_1_1111__1111111111111111111__11111111111,,
Mulefat,http://calscape.org/Baccharis-salicifolia-(Mulefat),Baccharis salicifolia,Bush,3,12,3,9,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Full,"DroughtTolerant, Infrequent, Occasional, Moderate, Regular",5,63,White,White flowers; Evergreen to semi-deciduous in summer,-10,"Heavier riparian soils, sandy washes",6,9,"Fast, Medium, Slow, Standing",Yes,Yes,NA,NA,,NA,-227,6779,1__1111_111_111_1_1_1111__11111_1111111111111__11111_11111,,
California barberry,http://calscape.org/Berberis-pinnata-(Coast-Barberry),Berberis pinnata,Bush,3,10,1.5,5,"Feb, Mar, Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional",13,121,Yellow,Yellow flowers; Evergreen,10,"Tolerates clay but performs best in deep, rich woodland soil",5,7,Medium,NA,NA,NA,NA,,NA,4,6204,1_1___11___1______1_111___11111_111111_111111_1_1___1__1__,,
California brome,http://calscape.org/Bromus-carinatus-(California-Brome-Grass),Bromus carinatus,Grass,1,5,1,2,"Jan, Feb, Mar","Full, Partial","DroughtTolerant, Infrequent, Occasional",9,119,Textural,Textural,-15,Tolerates most soil types but especially good in clay,5.5,8,Medium,Yes,Yes,NA,Yes,"Edible: Seed can be cooked or dried and ground into powder, but is small and hard to extract.",NA,-22,11823,1.11111E+57,,
Reed grass,http://calscape.org/Calamagrostis-nutkaensis-(Pacific-Reedgrass),Calamagrostis nutkaensis,Grass,2,4,2,4,"Mar, Apr, May, Jun","Full, Partial","Occasional, Moderate, Regular",17,101,Textural,Textural,15,Tolerates a variety of soils,5,7.8,Standing,NA,NA,NA,NA,Pollen may cause allergies,NA,-51,5891,1______1___1________1_1___1__________1_11__1__1_1_________,,
Santa Barbara sedge,http://calscape.org/Carex-barbarae-(Valley-Sedge),Carex barbarae,Grass,2,4,2,4,"Jun, Jul, Aug","Partial, Shade","Moderate, Regular",13,69,NA,Brown inflorescence and fruit,15,Tolerates a variety of soils,5.5,8,Slow,NA,Yes,NA,Yes,Pollen may cause allergies,Yes,-8,9055,1_11_11_1111__1_1_111_11__11111_1111111111111_111111111111,,
Torrent sedge,http://calscape.org/Carex-nudata-(Dudley's-Sedge),Carex nudata,Grass,1,3,1,3,"Apr, May, Jun, Jul","Partial, Shade","Moderate, Regular",17,89,Textural,Textural,5,"Tolerates rocky, gravelly, sandy or clay soils as long as plenty of water is available",-1,-1,"Slow, Standing",NA,NA,NA,Yes,Pollen may cause allergies,Yes,3,7026,1_11_1111111____1_111111__111_11_____1_111111_1111_11_1__1,,
Clustered field sedge,http://calscape.org/Carex-praegracilis-(Clustered-Field-Sedge),Carex praegracilis,Grass,1,3.5,1,3.5,"May, Jun","Full, Partial","Occasional, Moderate",5,77,Textural,Textural,-5,Tolerant of a variety of soils as long as sufficient moisture is provided,6,7,Slow,NA,Yes,NA,Yes,Pollen may cause allergies,Yes,-6,10745,11111111111__11_111111111111111111_1111111111_111111_11111,,
Foothill sedge,http://calscape.org/Carex-tumulicola-(Foothill-Sedge),Carex tumulicola,Grass,0.5,2,1,3,"Apr, May, Jun, Jul","Full, Partial, Shade","Occasional, Moderate, Regular",20,79,Textural,Textural,15,Adaptable,-1,-1,Slow,NA,NA,NA,Yes,Pollen may cause allergies,Yes,7,6669,1111_11__1_1____1_1_11111_11__1__11__1_11111___11_____1___,,
Buckbrush,http://calscape.org/Ceanothus-cuneatus-(Buck-Brush),Ceanothus cuneatus,Bush,5,12,5,12,"Feb, Mar, Apr",Full,"DroughtTolerant, Infrequent, Occasional",11,123,"White, Blue, Lavender","White, pale blue, blue, or lavender flower; Evergreen",-10,"Variable, but needs fast drainage",6,8,Fast,Yes,Yes,Yes,Yes,"Edible: Tea can be made by steeping leaves in boiling water for 5 minutes. Other: Green dye can be made from leaves, red dye from roots. All parts of the plant are rich in saponins - when crushed and mixed with water they produce a good lather which is an effective and gentle soap.",NA,-13,9002,111111111111_1111111111_1_11111111111_11111111111111111111,,
Wavy-leaved ceanothus,http://calscape.org/Ceanothus-foliosus-(Wavy-Leaved-Ceanothus),Ceanothus foliosus,Bush,2,6,3,6,"Mar, Apr, May, Jun",Full,"DroughtTolerant, Infrequent, Occasional",22,79,Blue,Blue flowers; Evergreen,15,Prefers slightly acidic soil but tolerates a variety of soils,6,8,Fast,Yes,Yes,Yes,NA,"Prefers sun on coast and shade inland. Edible: Flowers of most varieties can be steeped for tea, although not documented for this particular species.",NA,66,6527,1____1_____1____1_1_1_1___11_1_____11__111111___1___1_____,,
Glory mat,http://calscape.org/Ceanothus-gloriosus-(Point-Reyes-Ceanothus),Ceanothus gloriosus,Bush,0.3,3,3,6,"Mar, Apr",Partial,"DroughtTolerant, Infrequent, Occasional",29,75,"Blue, Lavender","Blue, Lavender, Pink flowers; Evergreen",0,Prefers beach sand,5,7,Fast,Yes,Yes,Yes,NA,"Edible: Flowers of most varieties can be steeped for tea, although not documented for this particular species.",NA,13,3129,___________1________1_1___1____________1________1_________,,
Blue blossom ceanothus,http://calscape.org/Ceanothus-thyrsiflorus-(Blueblossom-Ceanothus),Ceanothus thyrsiflorus,Bush,2,20,2,40,"Mar, Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional",17,101,Blue,Blue flowers; Evergreen,15,"Reported to tolerate clay and sand, but Ceanothus generally do best in well-drained soil. Do not fertilize or amend.",5,7,"Fast, Medium",Yes,Yes,Yes,NA,"Edible: Flowers of most varieties can be steeped for tea, although not documented for this particular species. Other: green dye can be made from leaves. All parts of the plant are rich in saponins - when crushed and mixed with water they produce a good lather which is an effective and gentle soap.",NA,10,5665,1_____111__1__1_1_1_1_1___1__1_11__111_111111__11______11_,,
Carmel ceanothus,http://calscape.org/Ceanothus-thyrsiflorus-var.-griseus-(Carmel-Ceanothus),Ceanothus thyrsiflorus var.griseus,Bush,3,15,3,15,"Mar, Apr, May","Full, Partial","Infrequent, Occasional",17,49,Blue,Light blue flowers;  Evergreen,15,Tolerant of sandy or clay soil,5,7,Medium,Yes,Yes,Yes,NA,"Edible: Flowers of most varieties can be steeped for tea, although not documented for this particular species. Other: green dye can be made from leaves. All parts of the plant are rich in saponins - when crushed and mixed with water they produce a good lather which is an effective and gentle soap.",NA,3,2254,1_________________1_1_1___1_________11_111_1____1_________,,
Western redbud,http://calscape.org/Cercis-occidentalis-(Redbud),Cercis occidentalis,Bush,3,20,3,15,"Feb, Mar, Apr","Full, Partial","DroughtTolerant, Infrequent, Occasional",15,91,Purple,"Showy purple flowers in spring; red, gold, or multicolored fall foliage; Winter deciduous",15,Adaptable,5,8,Medium,Yes,Yes,NA,NA,"Requires winter frost; Edible: Flowers can be eaten raw in salads; flower buds can be pickled like capers; seedpods eaten raw, roasted or cooked.",Yes,33,7910,1_1111__1111__1_1111_1111_111_11_1_11__1_11_1_111_11111111,,
Mountain mahogany,http://calscape.org/Cercocarpus-betuloides-(Mountain-Mahogany),Cercocarpus betuloides,Bush,3,20,3,12,"Mar, Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional",11,97,"Green, Red, White","Green, red, or white flowers; Evergreen",20,Adaptable,5,8,Medium,Yes,Yes,NA,NA,,NA,10,9673,1111111111111_111111111_1111111_1_111__1111111111_11111111,,
Chinese houses,http://calscape.org/Collinsia-heterophylla-(Purple-Chinese-Houses),Collinsia heterophylla,Annual_herb,0.6,1.5,0.3,0.3,"Feb, Mar, Apr","Full, Partial","Infrequent, Occasional, Regular",11,83,Purple,Purple flowers,0,"Prefers rich, loamy soil",5,6,"Medium, Slow",Yes,Yes,NA,NA,,NA,-3,6774,1_11111_11_1__1_1_111111__11111_111111111111___11111111111,,
Red osier dogwood,http://calscape.org/Cornus-sericea-(Creek-Dogwood),Cornus sericea,Bush,4,13,9,15,"Jun, Jul, Aug","Full, Partial, Shade","Occasional, Moderate, Regular",13,159,"White, Blue, Lavender","Red-brown bark, white flowers; Winter deciduous",0,"Tolerates a variety of soils but does best in moist, rich loamy soil",5,7,"Medium, Slow, Standing",Yes,Yes,NA,Yes,Hazard: Fruit can cause nausea. Other: widely employed by several native North American Indian tribes who valued it especially for its astringent and tonic bark. Decoction has been used to treat skin infections and rashes such as from poison oak.,Yes,3,10329,111111111111_11_1111111_1111111111111111111111111__1111111,,
Beaked hazelnut,http://calscape.org/Corylus-cornuta-(Beaked-Hazelnut),Corylus cornuta,Bush,5,20,6,10,"Feb, Mar","Partial, Shade","Occasional, Moderate, Regular",23,151,Yellow,Inconspicuous yellow flowers; Winter deciduous,0,Tolerant of a variety of garden soils as long as sufficient moisture is available,5,7,Medium,NA,NA,NA,Yes,Edible: nuts used like other hazelnuts. Other: Blue dye can be made from root or inner bark. Branches used in basketry.,NA,13,10537,1_111_1111_1____1__1111___111_111__1_1__1_1111111__1111__1,,
Hairgrass,http://calscape.org/Deschampsia-cespitosa-(Tufted-Hairgrass),Deschampsia caespitosa,Grass,1.5,3.3,1.5,3,Jul,"Full, Partial, Shade","Moderate, Regular",15,151,Textural,Textural,0,Tolerant of sand and clay,5,7,Medium,Yes,Yes,NA,NA,,NA,-51,14460,1111_11111_1_11_11_1111_11111_1111_111_11_1111111__11111__,,
Wood fern,http://calscape.org/Dryopteris-arguta-(Coastal-Wood-Fern),Dryopteris arguta,Fern,0.9,3,0.9,3,NA,"Full, Partial, Shade","Occasional, Moderate, Regular",21,101,Textural,Textural,5,"Tolerates a variety of soils, even clay",4,7,WellDraining,NA,NA,NA,NA,,NA,-23,8278,1_111_1111_1__1_111_111___1111111_1111_111111_111_11111111,,
Giant bluerye,http://calscape.org/Elymus-condensatus-(Giant-Wildrye),Elymus condensatus,Grass,3,10,2,8,"May, Jun, Jul, Aug",Full,DroughtTolerant,11,51,Textural,Textural,15,Tolerant of sand and clay,5,8,Medium,NA,Yes,NA,NA,"Edible: Seeds can be roasted and ground into a flour, but the seeds are small and hard to extract.",NA,-7,7531,1_____1__1_1_11__11___1_111__1_11_1111_111111_1_1_1____11_,,
Blue wildrye,http://calscape.org/Elymus-glaucus-(Blue-Wildrye),Elymus glaucus,Grass,1.5,5,1.5,3,"May, Jun, Jul",Full,"Occasional, Moderate",10,127,Textural,Textural,-15,Tolerates a wide variety of soils,5,8.2,Medium,NA,Yes,NA,NA,"Edible: Seeds can be roasted and ground into a flour, but the seeds are small and hard to extract.",NA,-23,10639,111111111111_11_111111111111111111111111111111111111111111,,
Creeping wildrye,http://calscape.org/Elymus-triticoides-(Creeping-Wild-Rye),Elymus triticoides,Grass,1.5,4,1.5,4,"Jun, Jul",Partial,"Moderate, Regular",7,63,Textural,Textural,0,Tolerates most soils,6,9,"Medium, Slow",NA,Yes,NA,NA,,NA,3,10173,111111111111_11_111111111111111111111111111111111111111111,,
